,User,Tweet,Tweet Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweet Count
76,@BBC,"RT @BBCSport: Just hold on...it's coming home.

#WorldCup #ThreeLions https://t.co/TCTpYhNV1s",Wed Jul 11 09:53:20 +0000 2018,0.0,0.0,1.0,0.0,76
77,@BBC,"This will give you goosebumps. 

The last time England won a #WorldCup semi-final it was a 2-1 victory over Portuga… https://t.co/2gRGni9S3y",Wed Jul 11 09:32:05 +0000 2018,0.5719,0.171,0.829,0.0,77
78,@BBC,"In this city, a six-figure salary is considered 'low income' and not enough for a family of four to get by on.… https://t.co/1qyDWTPSrG",Wed Jul 11 09:04:05 +0000 2018,-0.2732,0.0,0.905,0.095,78
79,@BBC,"#BluePlanet2 ✅ 
That unforgettable concert ✅ 
Brilliant Bedtime Stories ✅
A new Doctor ✅
and so much more. Here are… https://t.co/ZVSKIHOXDk",Wed Jul 11 08:00:00 +0000 2018,0.5859,0.202,0.798,0.0,79
80,@BBC,"RT @BBCSport: More of this please! 😊

#ENGCRO #ENG #ThreeLions #bbcworldcup https://t.co/706Vsdfy2Y",Wed Jul 11 07:39:04 +0000 2018,0.5018,0.245,0.755,0.0,80
81,@BBC,"💈⚽️🙌🏾 Dead trims, missed penalties, 30 yard screamers, calling players out, football coming home...… https://t.co/ZrrQJ1Qn9h",Wed Jul 11 07:33:03 +0000 2018,-0.8402,0.0,0.571,0.429,81
82,@BBC,"🌡🔥☀️ This one goes out to all the gingers braving the sun today... 

https://t.co/4Ed3y2Xp0f",Wed Jul 11 07:03:05 +0000 2018,0.0,0.0,1.0,0.0,82
83,@BBC,"The heatwave has unveiled ancient hillforts and Roman settlements in Wales. 👉
 https://t.co/L1VdHWkMP7 https://t.co/luXjJV5v3Y",Tue Jul 10 20:02:05 +0000 2018,0.0,0.0,1.0,0.0,83
84,@BBC,"Take a look at the rollercoaster years at Nokia, a company that dominated a nation. 

The Rise and Fall of Nokia |… https://t.co/7uflzUaeTj",Tue Jul 10 19:04:02 +0000 2018,0.0,0.0,1.0,0.0,84
85,@BBC,"Can you feel richer by giving your money away? 💸 This lottery winner thinks so.

https://t.co/BgKlrEfssV",Tue Jul 10 18:04:04 +0000 2018,0.8625,0.444,0.556,0.0,85
86,@BBC,"'I wanted to live inside you like a parasite'. 

A letter to my first love 💌👉 https://t.co/batgnuHRoi https://t.co/G0kGuLzHqU",Tue Jul 10 17:31:05 +0000 2018,0.7717,0.324,0.676,0.0,86
87,@BBC,"🙅No one likes making mistakes, but messing up isn’t always a bad thing.

Here are six reasons why making mistakes c… https://t.co/N7jMLZKLcE",Tue Jul 10 15:32:02 +0000 2018,-0.8338,0.066,0.593,0.34,87
88,@BBC,"RT @bbctennis: Serena Williams has some pretty big names supporting her.

Oh hey, @Drake 

LIVE👉https://t.co/RIpcahMeKm
📺 @BBCOne 
#bbctenn…",Tue Jul 10 15:14:38 +0000 2018,0.7269,0.289,0.711,0.0,88
89,@BBC,"No one does strawberries like we do in Britain! 🍓🇬🇧🍦

Now they're in season, make the most of these delicious straw… https://t.co/QKdHxenZNu",Tue Jul 10 13:01:05 +0000 2018,0.6763,0.242,0.68,0.079,89
90,@BBC,'Everyone safe': all 12 members of a Thai youth football team and their coach have been brought safely out of the c… https://t.co/c5bzSFM2ND,Tue Jul 10 12:18:03 +0000 2018,0.4939,0.132,0.868,0.0,90
